faction_id,mil,fed,zea,cor,ind,eco,fs
hegemony,3,1,3,0.5,2,0.5,#
tritachyon,1,2,0,4,2,1,#
luddic_path,3,0,5,0,1,1,#
luddic_church,0.5,2,3,0.5,1,3,#
persean,2,4,0.5,1,1,1.5,#
sindrian_diktat,3,1,0.5,1.5,3,1,#
pirates,3,0.5,0.5,3,2,1,#
independent,1,2,0.5,2,2,2.5,#
knights_of_ludd,2,1,3,0,2,2,#
lions_guard,3,0.5,1,0.5,3,2,#
# Common modded factions (fallback when Nex traits are empty)
tahlan,2,1,1,2,3,1,#
ora,2,3,0,2,2,1,#
diableavionics,2,1,0,3,3,1,#
blackrock_driveyards,2,2,0,2,3,1,#
mess,1,2,1,2,2,2,#
shadow_industries,1,2,0,3,3,1,#
vic,2,1,2,1,2,2,#
scalartech,1,2,0,4,3,0,#
mayorate,3,0,1,2,2,2,#
